survey,hr,ethnic_merged,ethnic_merged_simpler
White: English/Welsh/Scottish/Northern Irish/British,White British,White British,White
White: Any other White background,White Other,White Other,White
Mixed/Multiple: White and Asian,Mixed - White And Asian,Mixed (White and Asian),Mixed
Black/African/Caribbean/Black British: Caribbean,Black Or Black British - Caribbean,Black Caribbean,Black
White: Irish,White Other,White Other,White
Asian/Asian British: Pakistani,Asian Or Asian British - Pakistani,Asian Pakistani,Asian
Mixed/Multiple: White and Black Caribbean,Mixed - White And Black Caribbean,Mixed (White and Black Caribbean),Mixed
Asian/Asian British: Bangladeshi,Asian Or Asian British - Bangladeshi,Asian Bangladeshi,Asian
Asian/Asian British: Any other Asian background,Other Asian Background,Asian Other,Asian
Asian/Asian British: Indian,Asian Or Asian British - Indian,Asian Indian,Asian
Mixed/Multiple: Any other Mixed/Multiple ethnic background,Other Mixed Background,Mixed (Other),Mixed
Other ethnic group: Any other ethnic group,Other Ethnic Background,Other,Other
Asian/Asian British: Chinese,Chinese,Asian Chinese,Asian
Black/African/Caribbean/Black British: African,Black Or Black British - African,Black African,Black
Mixed/Multiple: White and Black African,Mixed - White And Black African,Mixed (White and Black African),Mixed
Other ethnic group: Arab,Arab,Arab,Asian
Black/African/Caribbean/Black British: Any other Black/African/Caribbean background,Other Black Background,Black Other,Black
NA,Latinx,Other,Other
White: Gypsy or Irish Traveller,Irish Gypsy or Traveller,Gypsy or Traveller,Other
NA,Gypsy Or Traveller,Gypsy or Traveller,White
NA,White European,White Other,White
NA,Prefer Not To Say,NA,Other
NA,Not Known,NA,Other
NA,White,White British,White
