hr,survey,grade_merged
GRADE 6,6,6
NA,NA,NA
GRADE 7,7,7
GRADE 8,8,8
Hourly Grade,I am not on the King's College London single pay spine,Not on single pay spine
NA,Don't know or prefer not to say,Don't know / prefer not to say
GRADE 5,5,5
GRADE 4,4,4
GRADE 3,3,3
GRADE 1,1,1
GRADE 2,2,2
PROFESSORIAL BAND 2,NA,8
PROFESSORIAL BAND 1,NA,8
PROFESSORIAL BAND 3,NA,8
PROFESSORIAL NON-INCREMENTAL BAND 2,NA,8
PROFESSORIAL NON-INCREMENTAL BAND 3,NA,8
Professor Non-Incremental,NA,8
Clinical Psychologist Professor,NA,8
READER - NEW,NA,8
Clinical Psychologist Reader/SL,NA,8
Personal Salary,NA,Not on single pay spine
Other,NA,Not on single pay spine
CLINICAL LECTURER PRE 2009,NA,7
Clinical Research Associate,NA,6
Clinical Research Fellow,NA,7
CCCB,NA,8
CCCA - Seniority 13,NA,8
ALC6,NA,6
CLINICAL SENIOR LECTURER PRE 2009,NA,8
Clinical Psychologist 1,NA,8
Clinician in Training - Doctor,NA,8
Clinical Psychologist 2,NA,8
CCCA - Seniority 5,NA,8
CCCA - Seniority 9,NA,8
CCCA - Seniority 7,NA,8
CCCA - Seniority 6,NA,8
CCCA - Seniority 12,NA,8
CCCA - Seniority 8,NA,8
CCCA - Seniority 11,NA,8
